compound_id	smiles
id_175	CC(N)C(=O)CCCCCC(=O)O
id_176	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
id_177	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(C(O)CO)C(O)C(O)C2O)C(O)C1O
id_178	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O
id_179	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(O)C(O)C2O)C(O)C1O
id_180	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
id_181	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
id_182	CC=O
id_183	CC(=O)O
id_184	CC(=O)CC(=O)O
id_185	CC(=O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_186	CC(=O)CO
id_187	CC(=O)OP(=O)(O)O
id_188	CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_189	Nc1nc[nH]c2ncnc1-2
id_190	Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
id_191	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O
id_192	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1O
id_193	CC1=C2N=C(C=C3N=C(C(C)=C4NC(C)(C5N=C1C(C)(CCC(O)=NCC(C)OP(=O)(O)OC1C(CO)OC([n+]6c[nH]c7cc(C)c(C)cc76)C1O)C5CC(=N)O)C(C)(CC(=N)O)C4CCC(=N)O)C(C)(CC(=N)O)C3CCC(=N)O)C(C)(C)C2CCC(=N)O
id_194	N=c1nc(O)c2c([nH]1)NC1OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(S)=C(S)C1N2
id_195	CC(=O)N(O)CCCCC(N=C(O)CC(O)(CC(O)=NC(CCCCN(O)C(C)=O)C(=O)O)C(=O)O)C(=O)O
id_196	N=C(N)NCCCCN
id_197	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
id_198	N=C(O)NC(NC(=N)O)C(=O)O
id_199	N=C(O)NC1N=C(O)N=C1O
id_200	O=P(O)(O)OCC1OC(O)(CO)C(O)C1O
id_201	O=P(O)(O)OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
id_202	O=P(O)(O)OC1OC(CO)C(O)C(O)C1O
id_203	O=P(O)(O)OC1OC(CO)C(O)C1O
id_204	O=P(O)(O)OCC1OC(O)C(O)C1O
id_205	NCC=O
id_206	CC(=O)CN
id_207	Nc1ccccc1C(=O)O
id_208	NCCC(=O)O
id_209	O=C(O)O
id_210	O=C(O)CCCCC1SCC2N=C(O)NC21
id_211	CCCC=O
id_212	CCCCS(=O)(=O)O
id_213	CCCC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_214	CCCC(=O)O
id_215	CCCC(=O)SC
id_216	O=P(O)(O)OCC(O)C(O)c1c[nH]c2ccccc12
id_217	Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O
id_218	N=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(O)n1
id_219	CCCCCCCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=N)nc2O)C(O)C1O)OC(=O)CCCCCCCCCCC
id_220	CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=N)nc2O)C(O)C1O)OC(=O)CCCCCCCC=CCCCCCC
id_221	CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=N)nc2O)C(O)C1O)OC(=O)CCCCCCCCCC=CCCCCCC
id_222	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=N)nc2O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC
id_223	CCCCCCC=CCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=N)nc2O)C(O)C1O)OC(=O)CCCCCC=CCCCCCC
id_224	CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=N)nc2O)C(O)C1O)OC(=O)CCCCCCCCCCCCC
id_225	N=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(O)n1
id_226	N=c1ccn(C2OC(COP(=O)(O)OC3(C(=O)O)CC(O)C(O)C(C(O)CO)O3)C(O)C2O)c(O)n1
id_227	O=C=O
id_228	N=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(O)n1
id_229	NC(=O)O
id_230	N=C(O)OP(=O)(O)O
id_231	C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
id_232	CC(C(=O)O)=C(CC(=O)O)C(=O)O
id_233	O=C(O)CCC1=CC=CC(O)C1O
id_234	O=C(O)C=C(CC(=O)O)C(=O)O
id_235	O=C(O)CC(O)(CC(=O)O)C(=O)O
id_236	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCS
id_237	CCCCCCC=CCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(O)=NC1C(OCC2OC(OP(=O)(O)O)C(N=C(O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(COC2(C(=O)O)CC(OC3(C(=O)O)CC(O)C(O)C(C(O)CO)O3)C(O)C(C(O)CO)O2)C(OP(=O)(O)O)C1OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
id_238	CC(=CC(=O)N([O-])CCCC(N=C(C)O)C(=O)OCCC(C)=CC(=O)N([O-])CCCC1N=C(O)C(CCCN([O-])C(=O)C=C(C)CCO)N=C1O)CCO
id_239	Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2
id_240	CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(N=C(O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(OCC2OC(OP(=O)(O)O)C(N=C(O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(COC2(C(=O)O)CC(OC3(C(=O)O)CC(OC4(C(=O)O)CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)(O)O)C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)(O)O)C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(OC6OC(CO)C(O)C(O)C6OC6OC(COC7OC(C(O)CO)C(O)C(O)C7O)C(O)C(O)C6O)C5O)C4O)C3O)C(C(O)CO)O2)C1OP(=O)(O)O
id_241	C[N+](C)(C)CC=CC(=O)O
id_242	CC=CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_243	N#CO
id_244	N=c1nc(O)c2c([nH]1)NC1OC3COP(=O)(O)OC3C(O)(O)C1N2
id_245	NC(CS)C(O)=NCC(=O)O
id_246	N=c1ccn(C2OC(CO)C(O)C2O)c(O)n1
id_247	N=c1ccnc(O)[nH]1
id_248	CC(C)(COP(=O)(O)O)C(O)C(O)=NCCC(=O)O
id_249	CC(N)C(=O)O
id_250	CC(N)C(O)=NC(C)C(=O)O
id_251	OCC1OC(O)C(O)C(O)C1O
id_252	O=CC(O)C(O)C(O)C(O)COP(=O)(O)O
id_253	O=C(O)C(O)C(O)C(O)C(O)CO
id_254	O=CC(O)C(O)C(O)COP(=O)(O)O
id_255	C[N+](C)(C)CC(O)CC(=O)O
id_256	NC(CS)C(=O)O
id_257	O=CC(O)C(O)COP(=O)(O)O
id_258	OCC1OC(O)(CO)C(O)C1O
id_259	O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O
id_260	O=P(O)(O)OCC1(O)OC(CO)C(O)C1O
id_261	O=C(CO)C(O)C(O)C(O)COP(=O)(O)O
